# name,planet_status,mass,radius,orbital_period,discovered,updated,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
Kepler-487 b,Confirmed,,1.019,15.3587684,2016,2021-02-05,,,13.732,13.326,13.25,835,0,0.91,0.88,,5.62,5444,,
Kepler-487 c,Confirmed,,0.239,38.6519976,2016,2021-02-05,,,13.732,13.326,13.25,835,0,0.91,0.88,,5.62,5444,,
Kepler-488 b,Confirmed,,1.409,3.12082923,2016,2021-02-05,,,13.724,13.403,13.412,1157,0.03,1.07,1.09,,3.47,5970,,
Kepler-489 b,Confirmed,,0.689,17.27629612,2016,2021-02-05,,,12.536,12.058,11.959,379,0,0.82,0.76,,3.31,5014,,
Kepler-49 b,Confirmed,0.98,0.243,7.2037945,2012,2021-02-05,15.5,,13.184,12.487,,314.02,,0.55,0.56,M1 V,,4252,,
Kepler-49 c,Confirmed,0.72,0.227,10.9129343,2012,2021-02-05,15.5,,13.184,12.487,,314.02,,0.55,0.56,M1 V,,4252,,
Kepler-49 d,Confirmed,,0.143,2.576549,2014,2021-02-05,15.5,,13.184,12.487,,314.02,,0.55,0.56,M1 V,,4252,,
Kepler-49 e,Confirmed,,0.139,18.596108,2014,2021-02-05,15.5,,13.184,12.487,,314.02,,0.55,0.56,M1 V,,4252,,
Kepler-490 b,Confirmed,,1.039,3.26869515,2016,2021-02-05,,,13.819,13.502,13.469,1249,-0.02,1.08,1.12,,3.47,6045,,
Kepler-491 b,Confirmed,,0.796,4.22538451,2016,2021-02-05,,,12.746,12.426,12.354,657,0.37,1.04,1.03,,4.47,5582,,
Kepler-492 b,Confirmed,39.9,0.856,11.72012266,2016,2021-02-05,,,13.095,12.709,12.656,642,0.07,0.94,0.91,K0V,4.57,5527,,
Kepler-493 b,Confirmed,,1.35,3.00387658,2016,2021-02-05,,,13.956,13.696,13.727,1942,0.11,1.36,1.54,,2,6457,,
Kepler-494 b,Confirmed,,0.637,8.02511821,2016,2021-02-05,,,12.899,12.54,12.468,862,0.02,1.1,1.26,,4.79,6007,,
Kepler-495 b,Confirmed,,0.467,3.41303622,2016,2021-02-05,,,13.314,12.859,12.81,630,-0.07,0.86,0.83,,4.37,5346,,
Kepler-496 b,Confirmed,,0.207,8.30864937,2016,2021-02-05,,,13.441,13.023,12.909,655,-0.03,0.86,0.82,,4.57,5293,,
Kepler-497 b,Confirmed,,0.539,3.57320367,2016,2021-02-05,,,13.6,13.287,13.21,1070,0.24,1.09,1.11,,3.55,5834,,
Kepler-498 b,Confirmed,,0.27,9.61375356,2016,2021-02-05,,,13.18,12.788,12.755,746,-0.04,0.98,0.96,,3.89,5744,,
Kepler-499 b,Confirmed,,0.194,5.63252845,2016,2021-02-05,,,12.946,12.511,12.405,523,0,0.87,0.83,,4.57,5312,,
Kepler-5 b,Confirmed,2.111,1.426,3.5484657,2009,2021-02-05,,,12.115,11.863,,923.41,0.04,1.37,1.79,,,6297,,
Kepler-50 b,Confirmed,0.1,0.153,7.81254,2012,2021-02-05,11,,9.518,9.25,,251.91,0.03,1.24,1.58,,3.8,6225,,
Kepler-50 c,Confirmed,0.11,0.194,9.37647,2012,2021-02-05,11,,9.518,9.25,,251.91,0.03,1.24,1.58,,3.8,6225,,
Kepler-500 b,Confirmed,,0.23,8.5083244,2016,2021-02-05,,,12.995,12.693,12.588,747,0.03,1.02,1.03,,4.37,5813,,
Kepler-501 b,Confirmed,,0.384,5.64067757,2016,2021-02-05,,,13.66,13.272,13.34,1044,-0.03,1.03,1.04,,3.31,5904,,
Kepler-502 b,Confirmed,,0.426,4.28686431,2016,2021-02-05,,,13.914,13.628,13.592,1433,0.05,1.15,1.22,,3.09,6125,,
Kepler-503 b,Retracted,78.6,96,7.25844721,2016,2020-04-15,,,13.461,13.138,13.045,888,0.09,1.01,1.01,,,5754,,
Kepler-504 b,Confirmed,,0.142,9.54927542,2016,2021-02-05,,,12,11.374,11.155,75,-0.31,0.33,0.33,,4.17,3519,,
Kepler-505 b,Confirmed,,0.232,27.52197994,2016,2021-02-05,,,12.912,12.236,12.08,222,-0.19,0.55,0.53,,3.16,3931,,
Kepler-506 b,Confirmed,,0.244,6.8834055,2016,2021-02-05,,,9.911,9.665,9.617,231,0.09,1.19,1.19,,1.74,6236,,
Kepler-507 b,Confirmed,,0.116,3.56809693,2016,2021-02-05,,,10.985,10.731,10.665,410,0.06,1.16,1.32,,3.8,6113,,
Kepler-508 b,Confirmed,,0.146,25.30889748,2016,2021-02-05,,,10.674,10.425,10.379,325,0.18,1.16,1.25,,3.55,6025,,
Kepler-509 b,Confirmed,,0.222,41.74600392,2016,2021-02-05,,,10.793,10.564,10.483,339,0.01,1.1,1.2,,4.27,6060,,
Kepler-51 b,Confirmed,0.007,0.633,45.154,2012,2021-02-05,15,,13.562,13.219,,801.76,,1.04,0.94,,0.3,6018,,
Kepler-51 c,Confirmed,0.013,0.803,85.312,2012,2021-02-05,15,,13.562,13.219,,801.76,,1.04,0.94,,0.3,6018,,
Kepler-51 d,Confirmed,0.024,0.865,130.194,2014,2021-02-05,15,,13.562,13.219,,801.76,,1.04,0.94,,0.3,6018,,
Kepler-510 b,Confirmed,,0.22,19.55659418,2016,2021-02-05,,,10.836,10.486,10.446,378,-0.35,0.91,1.41,,10.47,5746,,
Kepler-511 b,Confirmed,,0.567,296.637865,2016,2021-02-05,,,11.534,11.22,11.187,448,0.01,1,1.2,,7.94,5770,,
Kepler-512 b,Confirmed,,0.24,34.43587975,2016,2021-02-05,,,11.617,11.347,11.315,531,0.22,1.17,1.3,,3.72,5997,,
Kepler-513 b,Confirmed,,0.196,28.86235584,2016,2021-02-05,,,11.846,11.551,11.469,467,-0.01,1.02,1.06,,5.5,5849,,
Kepler-514 b,Confirmed,,0.153,5.65179605,2016,2021-02-05,,,11.202,10.906,10.875,489,0.36,1.28,1.44,,2.69,6106,,
Kepler-515 b,Confirmed,,0.13,19.96371318,2016,2021-02-05,,,11.295,10.946,10.885,255,0.08,0.9,0.83,,3.39,5293,,
Kepler-516 b,Confirmed,,0.512,24.85462415,2016,2021-02-05,,,11.18,11.053,10.987,777,0.01,1.62,2.02,,1.32,7099,,
Kepler-517 b,Confirmed,,0.238,60.92832271,2016,2021-02-05,,,11.02,10.667,10.631,284,-0.06,0.95,0.98,,6.31,5690,,
Kepler-518 b,Confirmed,,0.188,8.51203588,2016,2021-02-05,,,11.472,11.192,11.109,324,-0.23,0.96,0.88,,1.35,5842,,
Kepler-519 b,Confirmed,,0.187,24.3078946,2016,2021-02-05,,,11.258,10.793,10.761,234,0.01,0.89,0.8,,1.91,5260,,
Kepler-52 b,Confirmed,8.7,0.187,7.8773565,2012,2023-01-23,15.5,,13.153,12.507,,324.54,,0.54,0.56,M0 V,,4263,,
Kepler-52 c,Confirmed,10.41,0.164,16.3850021,2012,2023-01-17,15.5,,13.153,12.507,,324.54,,0.54,0.56,M0 V,,4263,,
Kepler-52 d,Confirmed,,0.174,36.445171,2014,2021-02-05,15.5,,13.153,12.507,,324.54,,0.54,0.56,M0 V,,4263,,
Kepler-520 b,Confirmed,,0.148,19.67416124,2016,2021-02-05,,,11.806,11.552,11.488,492,-0.03,1.1,1.09,,2.04,6112,,
Kepler-520 c,Confirmed,,0.095,5.21104261,2016,2021-02-05,,,11.806,11.552,11.488,492,-0.03,1.1,1.09,,2.04,6112,,
Kepler-521 b,Confirmed,,0.284,22.20813214,2016,2021-02-05,,,11.915,11.745,11.67,737,0.25,1.34,1.46,,1.78,6406,,
Kepler-522 b,Confirmed,,0.616,38.58422849,2016,2021-02-05,,,11.302,11.092,11.068,749,0.41,1.54,1.98,,1.7,6392,,
Kepler-523 b,Confirmed,,0.175,5.83598311,2016,2021-02-05,,,11.283,10.908,10.827,270,-0.03,0.93,0.86,,2.45,5515,,
Kepler-524 b,Confirmed,,0.17,7.97419807,2016,2021-02-05,,,12.729,12.46,12.384,730,0.02,1.09,1.1,,3.02,6014,,
Kepler-524 c,Confirmed,,0.086,1.88897906,2016,2021-02-05,,,12.729,12.46,12.384,730,0.02,1.09,1.1,,3.02,6014,,
Kepler-525 b,Confirmed,,0.235,18.68404933,2016,2021-02-05,,,12.248,11.885,11.798,566,0.11,0.95,1.15,,10.47,5573,,
Kepler-526 b,Confirmed,,0.178,5.45849832,2016,2021-02-05,,,11.91,11.569,11.475,504,0.34,1.15,1.14,,2.14,5894,,
Kepler-527 b,Confirmed,,0.253,13.28535633,2016,2021-02-05,,,12.424,12.188,12.125,901,0.03,1.28,1.45,,2.4,6388,,
Kepler-528 b,Confirmed,,0.186,19.78297415,2016,2021-02-05,,,12.795,12.488,12.409,711,0.02,1.01,1.06,,5.5,5807,,
Kepler-529 b,Confirmed,,0.166,1.98035766,2016,2021-02-05,,,12.786,12.466,12.418,787,-0.1,1.07,1.14,,3.98,6087,,
Kepler-529 c,Confirmed,,0.178,12.8345022,2016,2021-02-05,,,12.786,12.466,12.418,787,-0.1,1.07,1.14,,3.98,6087,,
Kepler-53 b,Confirmed,18.41,0.258,18.6489525,2012,2023-01-19,16,,14.252,13.906,,1420.1,,0.98,0.89,,,5858,,
Kepler-53 c,Confirmed,0.11,0.283,38.5583038,2012,2023-01-13,16,,14.252,13.906,,1420.1,,0.98,0.89,,,5858,,
Kepler-53 d,Confirmed,,0.189,9.751962,2014,2021-02-05,16,,14.252,13.906,,1420.1,,0.98,0.89,,,5858,,
Kepler-530 b,Confirmed,,0.269,39.30941904,2016,2021-02-05,,,12.303,11.939,11.9,464,-0.08,0.97,0.89,,1.78,5697,,
Kepler-531 b,Confirmed,,0.248,29.88485741,2016,2021-02-05,,,11.772,11.245,11.177,254,-0.03,0.78,0.75,,7.76,4893,,
Kepler-532 b,Confirmed,,0.229,12.92491623,2016,2021-02-05,,,12.014,11.616,11.545,325,0,0.87,0.79,,2,5192,,
Kepler-533 b,Confirmed,,0.302,28.51120525,2016,2021-02-05,,,12.335,11.778,11.683,305,0.01,0.78,0.72,,3.24,4758,,
Kepler-534 b,Confirmed,,0.2,15.95994513,2016,2021-02-05,,,12.063,11.775,11.708,473,0.01,1.05,0.98,,1.58,5884,,
Kepler-535 b,Confirmed,,0.211,4.90332155,2016,2021-02-05,,,12.141,11.915,11.845,678,0.13,1.18,1.27,,3.24,6123,,
Kepler-536 b,Confirmed,,0.277,1.8270823,2016,2021-02-05,,,12.379,11.988,11.892,446,0,0.92,0.89,,4.79,5524,,
Kepler-537 b,Confirmed,,0.126,3.24755522,2016,2021-02-05,,,12.007,11.706,11.623,465,0.23,1.07,0.99,,1.45,5763,,
Kepler-538 b,Confirmed,0.03335,0.198,81.73778,2016,2021-02-05,,,10.026,9.67,9.645,156.66,-0.03,0.89,0.87,,5.3,5547,,
Kepler-538 c,Candidate,0.00116,0.00553,117.56,2019,2019-08-26,,,10.026,9.67,9.645,156.66,-0.03,0.89,0.87,,5.3,5547,,
Kepler-539 b,Confirmed,0.97,0.747,125.63243,2016,2021-02-05,12.5,,11.294,10.964,,310.01,-0.01,1.05,0.95,G2 V,1.1,5820,,
Kepler-539 c,Confirmed,2.4,,1000,2016,2021-02-05,12.5,,11.294,10.964,,310.01,-0.01,1.05,0.95,G2 V,1.1,5820,,
Kepler-54 b,Confirmed,0.92,0.187,8.0109434,2012,2021-02-05,16.3,,13.508,12.897,,273.8,,0.51,0.55,M1 V,,4252,,
Kepler-54 c,Confirmed,0.37,0.11,12.0717249,2012,2021-02-05,16.3,,13.508,12.897,,273.8,,0.51,0.55,M1 V,,4252,,
Kepler-54 d,Confirmed,,0.136,20.995694,2014,2021-02-05,16.3,,13.508,12.897,,273.8,,0.51,0.55,M1 V,,4252,,
Kepler-540 b,Confirmed,,0.242,172.7049784,2016,2021-02-05,,,11.167,10.86,10.81,350,-0.1,1.02,1.08,,4.9,5946,,
Kepler-541 b,Confirmed,,0.3,5.08005848,2016,2021-02-05,,,12.079,11.814,11.733,1020,0.07,1.41,2.06,,3.09,6166,,
Kepler-542 b,Confirmed,,0.14,13.14497566,2016,2021-02-05,,,12.21,11.854,11.783,439,0.02,0.93,0.9,,4.57,5526,,
Kepler-543 b,Confirmed,,0.223,13.89961966,2016,2021-02-05,,,11.731,11.213,11.089,212,-0.19,0.7,0.67,,5.75,4671,,
Kepler-544 b,Confirmed,,0.189,21.41616926,2016,2021-02-05,,,12.578,12.318,12.289,797,0.02,1.16,1.22,,2.63,6206,,
Kepler-545 b,Confirmed,,0.24,13.24934059,2016,2021-02-05,,,13.074,12.776,12.708,831,0.03,1.04,1.07,,4.47,5882,,
Kepler-546 b,Confirmed,,0.624,4.14702026,2016,2021-02-05,,,13.073,12.782,12.784,896,0.14,1.11,1.15,,3.31,5967,,
Kepler-547 b,Confirmed,,0.357,6.01038429,2016,2021-02-05,,,12.588,12.107,11.998,361,0.01,0.78,0.73,,2.88,4828,,
Kepler-548 b,Confirmed,,1.07,4.45419434,2016,2021-02-05,,,13.581,13.148,13.071,776,0,0.93,0.9,,4.37,5535,,
Kepler-549 b,Confirmed,,0.229,42.9495649,2016,2021-02-05,,,13.303,12.903,12.826,648,-0.03,0.88,0.84,,4.57,5360,,
Kepler-549 c,Confirmed,,0.261,117.040498,2016,2021-02-05,,,13.303,12.903,12.826,648,-0.03,0.88,0.84,,4.57,5360,,
Kepler-55 b,Confirmed,1.49,0.217,27.9481449,2012,2021-02-05,16.3,,13.97,13.359,,588.47,,0.62,0.62,,,4503,,
Kepler-55 c,Confirmed,1.11,0.197,42.1516418,2012,2021-02-05,16.3,,13.97,13.359,,588.47,,0.62,0.62,,,4503,,
Kepler-55 d,Confirmed,,0.142,2.211099,2014,2021-02-05,16.3,,13.97,13.359,,588.47,,0.62,0.62,,,4503,,
Kepler-55 e,Confirmed,,0.138,4.617534,2014,2021-02-05,16.3,,13.97,13.359,,588.47,,0.62,0.62,,,4503,,
Kepler-55 f,Confirmed,,0.142,10.198545,2014,2021-02-05,16.3,,13.97,13.359,,588.47,,0.62,0.62,,,4503,,
Kepler-550 b,Confirmed,,0.394,8.60010411,2016,2021-02-05,,,13.097,12.677,12.562,563,-0.02,0.87,0.83,,4.68,5322,,
Kepler-551 b,Confirmed,,0.244,12.3764661,2016,2021-02-05,,,12.991,12.369,12.193,312,-0.09,0.65,0.63,,3.8,4286,,
Kepler-552 b,Confirmed,,0.352,5.26341577,2016,2021-02-05,,,13.198,12.877,12.78,834,0.01,1.03,1.04,,3.89,5863,,
Kepler-553 b,Confirmed,,0.413,4.03046804,2016,2021-02-05,,,13.578,13.161,13.064,725,0.21,0.92,0.85,,2.88,5266,,
Kepler-553 c,Confirmed,,0.999,328.2399546,2016,2021-02-05,,,13.578,13.161,13.064,725,0.21,0.92,0.85,,2.88,5266,,
Kepler-554 b,Confirmed,,0.383,1.90220856,2016,2021-02-05,,,13.043,12.654,12.615,642,0.14,0.93,0.92,,5.62,5447,,
Kepler-555 b,Confirmed,,0.252,16.21775407,2016,2021-02-05,,,13.024,12.702,12.633,772,0,1.03,1.04,,3.89,5894,,
Kepler-556 b,Confirmed,,0.2,11.72292176,2016,2021-02-05,,,13.039,12.687,12.668,729,0.03,1,0.98,,4.17,5740,,
Kepler-557 b,Confirmed,,0.238,3.70598955,2016,2021-02-05,,,13.553,13.244,13.153,1126,0.02,1.11,1.16,,3.24,6068,,
Kepler-558 b,Confirmed,,0.211,29.00790538,2016,2021-02-05,,,13.497,13.01,12.961,652,-0.06,0.85,0.81,,4.47,5242,,
Kepler-559 b,Confirmed,,0.322,17.58752333,2016,2021-02-05,,,13.429,13.031,12.977,793,0.03,0.96,0.95,,4.37,5630,,
Kepler-56 b,Confirmed,0.07,0.581,10.5016,2012,2021-02-05,13,,10.813,10.33,,936.96,0.2,1.32,4.23,,3.5,4840,,
Kepler-56 c,Confirmed,0.57,0.874,21.40239,2012,2021-02-05,13,,10.813,10.33,,936.96,0.2,1.32,4.23,,3.5,4840,,
Kepler-56 d,Confirmed,,,1002,2016,2021-02-05,13,,10.813,10.33,,936.96,0.2,1.32,4.23,,3.5,4840,,
Kepler-560 b,Confirmed,,0.153,18.47764449,2016,2021-02-05,,,12.276,11.671,11.455,88,-0.39,0.34,0.33,,4.07,3556,,
Kepler-561 b,Confirmed,,0.621,58.3620495,2016,2021-02-05,,,13.061,12.69,12.585,667,0.02,0.96,0.94,,4.27,5646,,
Kepler-561 c,Confirmed,,0.239,5.35016198,2016,2021-02-05,,,13.061,12.69,12.585,667,0.02,0.96,0.94,,4.27,5646,,
Kepler-562 b,Confirmed,,0.465,18.00931444,2016,2021-02-05,,,13.576,13.215,13.12,822,-0.04,0.93,0.9,,4.57,5575,,
Kepler-563 b,Confirmed,,0.276,22.18432708,2016,2021-02-05,,,13.358,12.831,12.773,557,-0.08,0.8,0.77,,5.37,5066,,
Kepler-564 b,Confirmed,,0.413,3.75083228,2016,2021-02-05,,,13.55,13.164,13.09,830,-0.01,0.95,0.92,,4.27,5626,,
Kepler-565 b,Confirmed,,0.325,4.24374723,2016,2021-02-05,,,13.899,13.52,13.492,1041,-0.02,0.98,0.95,,4.07,5735,,
Kepler-566 b,Confirmed,,0.192,18.42794624,2016,2021-02-05,,,13.508,13.089,12.929,628,-0.01,0.83,0.79,,4.57,5132,,
Kepler-567 b,Confirmed,,0.201,16.54297375,2016,2021-02-05,,,13.267,12.789,12.724,568,0,0.84,0.79,,4.68,5148,,
Kepler-568 b,Confirmed,,0.202,11.02347475,2016,2021-02-05,,,11.804,11.163,10.963,126,0.11,0.55,0.53,,5.89,3768,,
Kepler-569 b,Confirmed,,0.282,34.18890521,2016,2021-02-05,,,12.923,12.583,12.513,645,0.01,0.95,0.93,,4.9,5616,,
Kepler-57 b,Confirmed,0.372,0.21,5.7293196,2012,2023-01-17,15.5,,13.437,13.022,,656.23,-0.04,0.83,0.73,,,5145,,
Kepler-57 c,Confirmed,0.0233,0.15,11.6092567,2012,2023-01-17,15.5,,13.437,13.022,,656.23,-0.04,0.83,0.73,,,5145,,
Kepler-570 b,Confirmed,,0.219,4.301662,2016,2021-02-05,,,13.07,12.719,12.605,642,0.06,0.93,0.9,,5.01,5496,,
Kepler-571 b,Confirmed,,0.236,4.79859939,2016,2021-02-05,,,13.41,13.046,12.986,756,0.01,0.93,0.9,,4.68,5527,,
Kepler-572 b,Confirmed,,0.23,17.20523483,2016,2021-02-05,,,13.114,12.649,12.558,532,-0.1,0.83,0.79,,4.68,5212,,
Kepler-573 b,Confirmed,,0.249,22.18329658,2016,2021-02-05,,,13.032,12.703,12.636,758,0.02,0.99,1.02,,5.89,5746,,
Kepler-574 b,Confirmed,,0.213,7.65880414,2016,2021-02-05,,,13.326,12.921,12.921,747,-0.01,0.95,0.91,,4.17,5612,,
Kepler-575 b,Confirmed,,0.213,9.37891944,2016,2021-02-05,,,13.507,13.146,13.078,852,0,0.97,0.95,,3.98,5710,,
Kepler-576 b,Confirmed,,0.292,29.91136794,2016,2021-02-05,,,13.079,12.719,12.646,698,0.09,0.99,0.97,,4.47,5672,,
Kepler-577 b,Confirmed,,0.227,25.69578251,2016,2021-02-05,,,13.438,12.952,12.861,549,-0.14,0.78,0.73,,3.8,4984,,
Kepler-578 b,Confirmed,,0.178,1.6168837,2016,2021-02-05,,,13.087,12.653,12.561,568,-0.03,0.87,0.83,,4.68,5334,,
Kepler-579 b,Confirmed,,0.178,9.66857723,2016,2021-02-05,,,12.993,12.624,12.548,663,0.13,0.99,0.96,,4.07,5636,,
Kepler-58 b,Confirmed,1.39,0.248,10.2184954,2012,2021-02-05,15.3,,13.643,13.382,,996.32,,0.95,1.13,,,6099,,
Kepler-58 c,Confirmed,2.19,0.255,15.5741568,2012,2021-02-05,15.3,,13.643,13.382,,996.32,,0.95,1.13,,,6099,,
Kepler-58 d,Confirmed,,0.262,40.101371,2014,2021-02-05,15.3,,13.643,13.382,,996.32,,0.95,1.13,,,6099,,
Kepler-580 b,Confirmed,,0.229,8.22241966,2016,2021-02-05,,,13.09,12.441,12.314,333,-0.06,0.67,0.64,,3.47,4298,,
Kepler-581 b,Confirmed,,0.235,40.6069821,2016,2021-02-05,,,13.322,12.946,12.932,833,0.03,1,1,,4.07,5772,,
Kepler-582 b,Confirmed,,0.328,18.49235668,2016,2021-02-05,,,13.467,13.034,12.992,751,0.01,0.93,0.91,,4.47,5564,,
Kepler-583 b,Confirmed,,0.203,6.5100253,2016,2021-02-05,,,13.533,13.179,13.09,805,0.07,0.94,0.91,,4.47,5523,,
Kepler-584 b,Confirmed,,0.376,35.1810304,2016,2021-02-05,,,13.845,13.568,13.529,1445,0.02,1.17,1.24,,2.88,6195,,
Kepler-585 b,Confirmed,,0.252,2.75235975,2016,2021-02-05,,,12.808,12.459,12.403,604,0.03,0.96,0.93,,3.63,5593,,
Kepler-586 b,Confirmed,,0.249,2.10472218,2016,2021-02-05,,,13.247,12.865,12.742,707,0,0.94,0.92,,4.17,5575,,
Kepler-587 b,Confirmed,,0.199,10.94027841,2016,2021-02-05,,,13.689,13.302,13.25,852,-0.05,0.92,0.89,,4.79,5549,,
Kepler-588 b,Confirmed,,0.235,4.22162536,2016,2021-02-05,,,13.58,13.277,13.187,972,0,1.01,1,,4.07,5835,,
Kepler-589 b,Confirmed,,0.203,16.54964934,2016,2021-02-05,,,13.323,12.913,12.865,643,0.01,0.88,0.83,,4.47,5296,,
Kepler-59 b,Confirmed,2.05,0.098,11.8681707,2012,2021-02-05,14.8,,13.253,12.974,,1203.57,,1.04,0.94,,,6074,,
Kepler-59 c,Confirmed,1.37,0.177,17.9801235,2012,2021-02-05,14.8,,13.253,12.974,,1203.57,,1.04,0.94,,,6074,,
Kepler-590 b,Confirmed,,0.359,5.85296257,2016,2021-02-05,,,13.268,12.979,12.936,986,0.07,1.1,1.15,,3.55,6000,,
Kepler-591 b,Confirmed,,0.302,81.1694299,2016,2021-02-05,,,13.327,12.953,12.971,793,0.01,0.97,0.94,,4.17,5677,,
Kepler-592 b,Confirmed,,0.213,2.82019241,2016,2021-02-05,,,13.626,13.3,13.219,1034,-0.03,1.04,1.04,,3.89,5913,,
Kepler-593 b,Confirmed,,0.256,21.21708973,2016,2021-02-05,,,13.431,13.131,13.115,1016,0.04,1.08,1.1,,3.63,5967,,
Kepler-594 b,Confirmed,,0.194,13.64618192,2016,2021-02-05,,,13.48,13.104,13.001,742,-0.03,0.91,0.87,,4.27,5485,,
Kepler-595 b,Confirmed,0.05475,0.331,25.3029092,2016,2021-02-05,,,13.335,12.94,12.862,639,0.08,0.93,0.82,,,5247,,
Kepler-595 c,Confirmed,0.01038,0.09,12.38602,2020,2021-02-05,,,13.335,12.94,12.862,639,0.08,0.93,0.82,,,5247,,
Kepler-596 b,Confirmed,,0.309,21.30022655,2016,2021-02-05,,,13.074,12.812,12.715,1083,0.03,1.21,1.32,,2.69,6267,,
Kepler-597 b,Confirmed,,0.211,13.02365861,2016,2021-02-05,,,12.951,12.562,12.54,660,-0.01,0.97,0.95,,4.27,5683,,
Kepler-598 b,Confirmed,,0.134,3.70175428,2016,2021-02-05,,,13.41,12.977,12.931,686,0.02,0.87,0.86,,7.59,5307,,
Kepler-598 c,Confirmed,,0.27,86.4945,2020,2021-02-05,,,13.41,12.977,12.931,686,0.02,0.87,0.86,,7.59,5307,,
Kepler-599 b,Confirmed,,0.253,15.65562652,2016,2021-02-05,,,13.51,13.031,12.972,627,-0.02,0.83,0.79,,5.01,5127,,
Kepler-6 b,Confirmed,0.668,1.304,3.2346996,2009,2021-02-05,,,12.001,11.706,,597.14,0.34,1.21,1.39,,3.8,5647,,
Kepler-60 b,Confirmed,0.01318,0.153,7.1334,2012,2021-02-05,14.5,,12.804,12.569,,1056.17,-0.09,1.04,1.26,,,5905,,
Kepler-60 c,Confirmed,0.01211,0.17,8.9187,2012,2021-02-05,14.5,,12.804,12.569,,1056.17,-0.09,1.04,1.26,,,5905,,
Kepler-60 d,Confirmed,0.01309,0.178,11.8981,2012,2021-02-05,14.5,,12.804,12.569,,1056.17,-0.09,1.04,1.26,,,5905,,
Kepler-600 b,Confirmed,,0.259,23.67517607,2016,2021-02-05,,,13.387,12.96,12.812,624,-0.09,0.84,0.81,,4.57,5279,,
Kepler-601 b,Confirmed,,0.17,5.37886844,2016,2021-02-05,,,12.647,12.155,12.129,429,-0.02,0.85,0.79,,4.07,5160,,
Kepler-602 b,Confirmed,,0.186,15.28469497,2016,2021-02-05,,,13.328,12.999,12.936,971,-0.02,1.08,1.13,,3.16,6062,,
Kepler-603 b,Confirmed,,0.236,21.05358596,2016,2021-02-05,,,13.601,13.282,13.214,967,0.03,1.01,1.01,,4.37,5808,,
Kepler-603 c,Confirmed,,0.58,127.9075774,2016,2021-02-05,,,13.601,13.282,13.214,967,0.03,1.01,1.01,,4.37,5808,,
Kepler-603 d,Confirmed,,0.118,6.2171292,2016,2021-02-05,,,13.601,13.282,13.214,967,0.03,1.01,1.01,,4.37,5808,,
Kepler-604 b,Confirmed,,0.231,25.85501786,2016,2021-02-05,,,13.553,13.201,13.19,981,-0.02,1.02,1.03,,3.72,5890,,
Kepler-605 b,Confirmed,,0.128,3.38353807,2016,2021-02-05,,,12.869,12.496,12.422,570,0.02,0.91,0.88,,4.47,5462,,
Kepler-605 c,Confirmed,,0.077,2.35895152,2016,2021-02-05,,,12.869,12.496,12.422,570,0.02,0.91,0.88,,4.47,5462,,
Kepler-606 b,Confirmed,,0.295,24.31575992,2016,2021-02-05,,,13.583,13.28,13.202,1208,0.01,1.13,1.22,,2.88,6161,,
Kepler-607 b,Confirmed,,0.078,0.6381632,2016,2021-02-05,,,12.965,12.498,12.426,500,-0.02,0.84,0.8,,4.9,5196,,
Kepler-608 b,Confirmed,,0.325,6.41251504,2016,2021-02-05,,,13.526,13.182,13.077,926,-0.02,1,1.01,,3.8,5820,,
Kepler-609 b,Confirmed,,0.299,6.52121067,2016,2021-02-05,,,13.651,13.353,13.281,1143,0.06,1.09,1.14,,3.72,5971,,
Kepler-61 b,Confirmed,,0.192,59.87756,2013,2021-02-05,15,,13.078,12.426,,338.24,0.03,0.64,0.62,K7 V,1,4017,,
Kepler-610 b,Confirmed,,0.374,6.99692655,2016,2021-02-05,,,13.601,13.306,13.267,1113,0.12,1.1,1.13,,3.55,5943,,
Kepler-610 c,Confirmed,,0.294,151.86392,2016,2021-02-05,,,13.601,13.306,13.267,1113,0.12,1.1,1.13,,3.55,5943,,
Kepler-611 b,Confirmed,,0.147,2.4370333,2016,2021-02-05,,,13.438,13.149,13.035,906,0.06,1.01,1.01,,4.47,5761,,
Kepler-612 b,Confirmed,,0.253,3.72215641,2016,2021-02-05,,,13.663,13.315,13.264,932,0.04,0.98,0.96,,4.47,5693,,
Kepler-613 b,Confirmed,,0.204,15.77979614,2016,2021-02-05,,,13.483,13.14,13.067,864,-0.01,0.98,0.96,,4.27,5723,,
Kepler-614 b,Confirmed,,0.213,14.03491514,2016,2021-02-05,,,13.195,12.72,12.662,571,-0.07,0.85,0.81,,4.79,5268,,
Kepler-615 b,Confirmed,,0.155,10.35584657,2016,2021-02-05,,,12.646,12.071,11.966,330,-0.07,0.73,0.69,,3.72,4655,,
Kepler-616 b,Confirmed,,0.217,9.99761851,2016,2021-02-05,,,13.814,13.412,13.448,1019,-0.02,0.98,0.97,,3.89,5753,,
Kepler-616 c,Confirmed,,0.304,90.4113556,2016,2021-02-05,,,13.814,13.412,13.448,1019,-0.02,0.98,0.97,,3.89,5753,,
Kepler-617 b,Confirmed,,0.118,1.68269615,2016,2021-02-05,,,12.437,11.802,11.573,150,-0.07,0.51,0.48,M1 V,3.98,3712,,
Kepler-618 b,Confirmed,,0.232,3.59576964,2016,2021-02-05,,,13.67,13.417,13.335,1115,0.08,1.05,1.08,,4.27,5860,,
