# name,planet_status,mass,radius,orbital_period,discovered,updated,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
GJ 3822 b,Candidate,,,25.151,2022,2022-03-10,10.6,,,,,20.36,-0.12,0.58,,M1V,,2088,,
GJ 3929 b,Confirmed,0.00381,0.1026,2.6162745,2022,2022-02-03,12,,,,,15.83,0,0.309,0.35,M3.5V,,3369,,
GJ 3929 c,Confirmed,,,14.303,2022,2022-02-03,12,,,,,15.83,0,0.309,0.35,M3.5V,,3369,,
GJ 393 b,Confirmed,,,7.02679,2021,2021-05-31,9,,,,,7.0375,-0.09,0.426,0.426,M2.0V,,3579,,
GJ 3942 b,Confirmed,,,6.905,2017,2017-09-21,10,,,,,16.93,-0.04,0.63,0.61,M0,,3867,,
GJ 3942 c,Candidate,,,10.378,2017,2017-09-21,10,,,,,16.93,-0.04,0.63,0.61,M0,,3867,,
GJ 3998 b,Confirmed,,,2.64977,2016,2016-07-14,10.8,,,,,17.8,-0.16,0.5,0.49,M1,,3722,,
GJ 3998 c,Confirmed,,,13.74,2016,2016-07-19,10.8,,,,,17.8,-0.16,0.5,0.49,M1,,3722,,
GJ 414 A b,Confirmed,,0.2632,50.817,2020,2020-09-15,8.9,,,,,11.893,0.24,0.65,0.68,K7V,12.4,4120,,
GJ 414 A c,Confirmed,,0.7833,748.3,2020,2020-09-15,8.9,,,,,11.893,0.24,0.65,0.68,K7V,12.4,4120,,
GJ 422 b,Confirmed,,,20.129,2014,2020-01-09,11.516,,,,,12.67,,0.35,,M3.5V,,3323,,
GJ 4276 b,Confirmed,,,13.35,2018,2019-09-11,12,,,,,21.35,0.12,0.406,0.407,M4,6.9,3387,,
GJ 4276 c,Confirmed,,,6.675,2018,2019-09-11,12,,,,,21.35,0.12,0.406,0.407,M4,6.9,3387,,
GJ 433 b,Confirmed,,,7.3708,2009,2020-01-10,9.79,,,,,9.04,-0.22,0.48,,M1.5,,3600,,
GJ 433 c,Confirmed,,,4874,2012,2020-01-10,9.79,,,,,9.04,-0.22,0.48,,M1.5,,3600,,
GJ 433 d,Confirmed,,,36.052,2020,2020-01-09,9.79,,,,,9.04,-0.22,0.48,,M1.5,,3600,,
GJ 436 b,Confirmed,0.07,0.38,2.64394,2004,2022-08-30,10.68,,,,,10.2,-0.32,0.452,0.464,M2.5,6,3684,,
GJ 436 c,Controversial,0.0009,0.059,1.365862,2012,2021-09-13,10.68,,,,,10.2,-0.32,0.452,0.464,M2.5,6,3684,,
GJ 436 d,Controversial,0.00085,0.058,,2012,2021-09-13,10.68,,,,,10.2,-0.32,0.452,0.464,M2.5,6,3684,,
GJ 463 b,Confirmed,3.6,,3448,2022,2023-01-25,13.5,,,,,18.365,,0.49,0.49,M3V,,3540,,
GJ 480 b,Confirmed,,,9.567,2020,2020-08-19,11.5,,,,,14.24,,,,M3.5,,,,
GJ 486 b,Confirmed,0.00887,0.11643,1.467119,2021,2021-03-05,11.4,,,,,8.0761,0.07,0.323,0.328,M3.5V,,3340,,
GJ 504 b,Confirmed,4,0.96,,2013,2015-12-01,5.22,,,,,17.56,0.27,1.22,,GOV,0.16,6291,,
GJ 536 b,Confirmed,,,8.7076,2016,2017-04-02,,,,,,10.03,-0.08,0.52,0.5,M1,,3685,,
GJ 548A b,Candidate,,,13.08,2022,2022-03-10,9.7,,,,,16.33,-0.1,0.64,,M3V,,909,,
GJ 570 D,Confirmed,42.5,0.855,,2000,2017-07-13,5.64,,,,,5.91,0.06,0.802,,K4/M1/M3,,4758,,
GJ 581 b,Confirmed,,,5.368,2005,2019-06-13,10.55,,,,,6.21,-0.135,0.31,0.3,M2.5V,8,3498,Imaging,
GJ 581 c,Confirmed,,,12.919,2007,2022-04-25,10.55,,,,,6.21,-0.135,0.31,0.3,M2.5V,8,3498,Imaging,
GJ 581 d,Retracted,0.019,,66.64,2007,2021-10-05,10.55,,,,,6.21,-0.135,0.31,0.3,M2.5V,8,3498,Imaging,
GJ 581 e,Confirmed,,,3.153,2009,2019-06-13,10.55,,,,,6.21,-0.135,0.31,0.3,M2.5V,8,3498,Imaging,
GJ 581 f,Retracted,0.023,,433,2010,2021-10-05,10.55,,,,,6.21,-0.135,0.31,0.3,M2.5V,8,3498,Imaging,
GJ 581 g,Retracted,0.01,,36.652,2010,2021-10-05,10.55,,,,,6.21,-0.135,0.31,0.3,M2.5V,8,3498,Imaging,
GJ 620 b,Candidate,,,7.652,2019,2020-01-13,10,,,,,16.54,,0.61,,M2V,,,,
GJ 620 c,Candidate,,,27.219,2019,2020-01-13,10,,,,,16.54,,0.61,,M2V,,,,
GJ 625 b,Confirmed,,,14.638,2017,2017-05-19,10.17,,,,,6.49,-0.38,0.3,0.31,M2,,3499,,
GJ 649 b,Confirmed,,,598.3,2009,2016-02-23,9.7,,,,,10.34,0.08,0.54,,M1.5,,3700,,
GJ 649 c,Confirmed,,,4.4762,2013,2016-02-23,9.7,,,,,10.34,0.08,0.54,,M1.5,,3700,,
GJ 667 C b,Confirmed,,,7.2004,2009,2019-06-13,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2,3600,,
GJ 667 C c,Confirmed,,,28.14,2011,2019-06-13,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2,3600,,
GJ 667 C d,Candidate,,,91.61,2012,2021-10-05,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2,3600,,
GJ 667 C e,Confirmed,,,62.24,2013,2016-02-23,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2,3600,,
GJ 667 C f,Confirmed,,,39.026,2013,2016-02-23,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2,3600,,
GJ 667 C g,Confirmed,,,256.2,2013,2016-02-23,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2,3600,,
GJ 667 C h,Candidate,0.0035,,16.946,2013,2021-10-05,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2,3600,,
GJ 674 b,Confirmed,,1.13,4.6944,2007,2019-06-13,9.38,,,,,4.54,-0.28,0.35,,M2.5,0.55,3600,,
GJ 676 A b,Confirmed,6.7,,1052.1,2009,2016-08-03,9.59,,,,,16.45,0.23,0.71,,M0V,,,,
GJ 676 A c,Confirmed,6.8,,7337,2012,2016-08-03,9.59,,,,,16.45,0.23,0.71,,M0V,,,,
GJ 676 A d,Confirmed,,,3.6,2012,2016-02-23,9.59,,,,,16.45,0.23,0.71,,M0V,,,,
GJ 676 A e,Confirmed,,,35.37,2012,2016-02-23,9.59,,,,,16.45,0.23,0.71,,M0V,,,,
GJ 682 b,Confirmed,,,17.478,2014,2014-05-25,,,,,,,,0.27,,M3.5V,,3028,,
GJ 682 c,Confirmed,,,57.32,2014,2014-05-25,,,,,,,,0.27,,M3.5V,,3028,,
GJ 685 b,Confirmed,,,24.16,2019,2019-03-29,10,,,,,14.42,-0.15,0.55,0.54,M0.5,,3816,,
GJ 687 b,Confirmed,,,38.142,2014,2021-04-10,9.15,,,,,4.5,,0.413,0.4183,M3.5V,,3413,,
GJ 687 c,Confirmed,,,727.562,2020,2020-08-19,9.15,,,,,4.5,,0.413,0.4183,M3.5V,,3413,,
GJ 720A b,Confirmed,,,19.47,2021,2021-03-18,10,,,,,15.557,-0.14,0.57,0.56,M0.5V,,3837,,
GJ 739 b,Candidate,,,45.323,2019,2020-01-13,11,,,,,14.15,,0.45,,M4V,,,,
GJ 739 c,Candidate,,,266.489,2019,2020-01-13,11,,,,,14.15,,0.45,,M4V,,,,
GJ 740 b,Confirmed,,,2.37756,2021,2021-02-19,9.4,,,,,11.1017,,,,M1V,,,,
GJ 752 A b,Confirmed,,,105.9,2018,2018-10-30,9.115,,,,,5.9116,0,0.45,0.453,M2.5 V,5.5,3557,,
GJ 758 b,Confirmed,37.9,,109000,2009,2019-09-12,6.36,,,,,15.5,0.18,0.97,0.88,K0V,8.2,5425,,
GJ 785 b,Confirmed,,,74.72,2010,2019-06-13,6.13,,,,,8.911,0.08,0.78,0.68,K1V,,5144,IR Excess,
GJ 785 c,Confirmed,,,525.8,2011,2016-02-24,6.13,,,,,8.911,0.08,0.78,0.68,K1V,,5144,IR Excess,
GJ 832 b,Confirmed,,,3830,2008,2023-01-10,8.67,,,,,4.94,-0.31,0.45,,,,,,
GJ 832 c,Controversial,,,35.68,2014,2022-11-01,8.67,,,,,4.94,-0.31,0.45,,,,,,
GJ 849 b,Confirmed,,,1914,2006,2019-06-13,10.37,,,,,9.1,0.22,0.49,0.52,M3.5V,,,,
GJ 849 c,Confirmed,,,7049,2013,2019-06-13,10.37,,,,,9.1,0.22,0.49,0.52,M3.5V,,,,
GJ 86 b,Confirmed,,,15.766,2000,2021-12-20,6.17,,,,,10.9,-0.24,0.8,0.855,K1V,2.03,5350,,
GJ 876 b,Confirmed,3.6,,61.03474,2000,2022-07-25,10.17,,,,,4.7,0.05,0.334,0.36,M4 V,2.5,3350,,
GJ 876 c,Confirmed,,,30.126,2000,2022-07-25,10.17,,,,,4.7,0.05,0.334,0.36,M4 V,2.5,3350,,
